,Date&Time,sensorID,Type,Location,Event
0,12/06/22 00:00:01,S-09,Sonar,asda,NO
1,12/06/22 00:00:02,S-08,Sonar,asda,NO
2,12/06/22 00:00:03,V-01,Rpi Camera,somehwere,16
3,12/06/22 00:00:04,S-06,Sonar,Under the table,YES
4,12/06/22 00:00:05,S-04,Sonar,desktop 4,NO
5,12/06/22 00:00:06,S-08,Sonar,asda,YES
6,12/06/22 00:00:07,S-02,Sonar,sada,YES
7,12/06/22 00:00:08,S-05,Sonar,sada,YES
8,12/06/22 00:00:09,S-10,Sonar,sadada,NO
9,12/06/22 00:00:10,S-10,Sonar,sadada,YES
10,12/06/22 00:00:11,S-02,Sonar,sada,YES
11,12/06/22 00:00:12,S-03,Sonar,Desktop 3,NO
12,12/06/22 00:00:13,D-01,OpenMV Camera,door,out
13,12/06/22 00:00:14,S-01,Sonar,Desktop 1,NO
14,12/06/22 00:00:15,S-04,Sonar,desktop 4,YES
15,12/06/22 00:00:16,S-07,Sonar,Desktop 5,YES
16,12/06/22 00:00:17,S-03,Sonar,Desktop 3,YES
17,12/06/22 00:00:18,S-07,Sonar,Desktop 5,YES
18,12/06/22 00:00:19,S-02,Sonar,sada,YES
19,12/06/22 00:00:20,S-02,Sonar,sada,NO
20,12/06/22 00:00:21,S-04,Sonar,desktop 4,YES
21,12/06/22 00:00:22,S-04,Sonar,desktop 4,YES
22,12/06/22 00:00:23,S-01,Sonar,Desktop 1,YES
23,12/06/22 00:00:24,V-01,Rpi Camera,somehwere,14
24,12/06/22 00:00:25,D-01,OpenMV Camera,door,in
25,12/06/22 00:00:26,S-02,Sonar,sada,YES
26,12/06/22 00:00:27,S-07,Sonar,Desktop 5,YES
27,12/06/22 00:00:28,S-07,Sonar,Desktop 5,YES
28,12/06/22 00:00:29,V-01,Rpi Camera,somehwere,23
29,12/06/22 00:00:30,S-08,Sonar,asda,NO
30,12/06/22 00:00:31,S-10,Sonar,sadada,YES
31,12/06/22 00:00:32,V-01,Rpi Camera,somehwere,25
32,12/06/22 00:00:33,S-03,Sonar,Desktop 3,NO
33,12/06/22 00:00:34,S-01,Sonar,Desktop 1,NO
34,12/06/22 00:00:35,S-08,Sonar,asda,NO
35,12/06/22 00:00:36,S-08,Sonar,asda,YES
36,12/06/22 00:00:37,V-01,Rpi Camera,somehwere,20
37,12/06/22 00:00:38,D-01,OpenMV Camera,door,out
38,12/06/22 00:00:39,S-02,Sonar,sada,NO
39,12/06/22 00:00:40,S-09,Sonar,asda,YES
40,12/06/22 00:00:41,V-01,Rpi Camera,somehwere,4
41,12/06/22 00:00:42,S-09,Sonar,asda,YES
42,12/06/22 00:00:43,S-06,Sonar,Under the table,YES
43,12/06/22 00:00:44,S-07,Sonar,Desktop 5,YES
44,12/06/22 00:00:45,S-07,Sonar,Desktop 5,NO
45,12/06/22 00:00:46,S-07,Sonar,Desktop 5,NO
46,12/06/22 00:00:47,S-06,Sonar,Under the table,YES
47,12/06/22 00:00:48,S-01,Sonar,Desktop 1,YES
48,12/06/22 00:00:49,S-01,Sonar,Desktop 1,NO
49,12/06/22 00:00:50,S-06,Sonar,Under the table,YES
50,12/06/22 00:00:51,S-04,Sonar,desktop 4,YES
51,12/06/22 00:00:52,S-01,Sonar,Desktop 1,NO
52,12/06/22 00:00:53,V-01,Rpi Camera,somehwere,22
53,12/06/22 00:00:54,D-01,OpenMV Camera,door,in
54,12/06/22 00:00:55,D-01,OpenMV Camera,door,in
55,12/06/22 00:00:56,S-08,Sonar,asda,NO
56,12/06/22 00:00:57,S-06,Sonar,Under the table,NO
57,12/06/22 00:00:58,S-04,Sonar,desktop 4,YES
58,12/06/22 00:00:59,S-06,Sonar,Under the table,NO
59,12/06/22 00:01:00,S-02,Sonar,sada,YES
60,12/06/22 00:01:01,S-08,Sonar,asda,NO
61,12/06/22 00:01:02,S-09,Sonar,asda,NO
62,12/06/22 00:01:03,D-01,OpenMV Camera,door,out
63,12/06/22 00:01:04,S-04,Sonar,desktop 4,YES
64,12/06/22 00:01:05,S-05,Sonar,sada,YES
65,12/06/22 00:01:06,S-03,Sonar,Desktop 3,YES
66,12/06/22 00:01:07,S-03,Sonar,Desktop 3,NO
67,12/06/22 00:01:08,S-03,Sonar,Desktop 3,NO
68,12/06/22 00:01:09,S-04,Sonar,desktop 4,NO
69,12/06/22 00:01:10,D-01,OpenMV Camera,door,in
70,12/06/22 00:01:11,V-01,Rpi Camera,somehwere,1
71,12/06/22 00:01:12,S-08,Sonar,asda,YES
72,12/06/22 00:01:13,S-05,Sonar,sada,YES
73,12/06/22 00:01:14,V-01,Rpi Camera,somehwere,18
74,12/06/22 00:01:15,S-01,Sonar,Desktop 1,YES
75,12/06/22 00:01:16,S-10,Sonar,sadada,NO
76,12/06/22 00:01:17,S-04,Sonar,desktop 4,NO
77,12/06/22 00:01:18,S-05,Sonar,sada,NO
78,12/06/22 00:01:19,S-02,Sonar,sada,YES
79,12/06/22 00:01:20,S-03,Sonar,Desktop 3,YES
80,12/06/22 00:01:21,S-04,Sonar,desktop 4,YES
81,12/06/22 00:01:22,S-05,Sonar,sada,NO
82,12/06/22 00:01:23,S-08,Sonar,asda,NO
83,12/06/22 00:01:24,S-09,Sonar,asda,NO
84,12/06/22 00:01:25,S-05,Sonar,sada,YES
85,12/06/22 00:01:26,S-10,Sonar,sadada,NO
86,12/06/22 00:01:27,V-01,Rpi Camera,somehwere,24
87,12/06/22 00:01:28,S-04,Sonar,desktop 4,YES
88,12/06/22 00:01:29,S-02,Sonar,sada,YES
89,12/06/22 00:01:30,S-01,Sonar,Desktop 1,YES
90,12/06/22 00:01:31,S-04,Sonar,desktop 4,YES
91,12/06/22 00:01:32,D-01,OpenMV Camera,door,out
92,12/06/22 00:01:33,S-03,Sonar,Desktop 3,NO
93,12/06/22 00:01:34,S-01,Sonar,Desktop 1,YES
94,12/06/22 00:01:35,S-02,Sonar,sada,YES
95,12/06/22 00:01:36,S-08,Sonar,asda,NO
96,12/06/22 00:01:37,S-09,Sonar,asda,YES
97,12/06/22 00:01:38,S-03,Sonar,Desktop 3,NO
98,12/06/22 00:01:39,S-01,Sonar,Desktop 1,NO
99,12/06/22 22:00:37,V-01,Rpi Camera,somehwere,1
