sensorID,Type,Location,Event,Time,Day
V-01,Rpi Camera,somehwere,1,19:31:21,07/06/22
V-01,Rpi Camera,somehwere,1,19:31:30,07/06/22
V-01,Rpi Camera,somehwere,1,19:31:38,07/06/22
V-01,Rpi Camera,somehwere,1,19:31:47,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:06,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:15,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:23,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:32,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:41,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:50,07/06/22
V-01,Rpi Camera,somehwere,1,19:32:59,07/06/22
V-01,Rpi Camera,somehwere,1,19:33:08,07/06/22
V-01,Rpi Camera,somehwere,1,19:33:16,07/06/22
V-01,Rpi Camera,somehwere,1,19:33:25,07/06/22
V-01,Rpi Camera,somehwere,1,19:33:34,07/06/22
V-01,Rpi Camera,somehwere,1,19:33:43,07/06/22
V-01,Rpi Camera,somehwere,1,19:33:54,07/06/22
V-01,Rpi Camera,somehwere,1,19:34:02,07/06/22
V-01,Rpi Camera,somehwere,1,19:34:11,07/06/22
V-01,Rpi Camera,somehwere,1,19:34:20,07/06/22
V-01,Rpi Camera,somehwere,1,19:34:29,07/06/22
V-01,Rpi Camera,somehwere,1,19:34:43,07/06/22
V-01,Rpi Camera,somehwere,1,19:34:52,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:01,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:10,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:18,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:27,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:35,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:44,07/06/22
V-01,Rpi Camera,somehwere,1,19:35:52,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:01,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:10,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:19,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:28,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:40,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:48,07/06/22
V-01,Rpi Camera,somehwere,1,19:36:57,07/06/22
V-01,Rpi Camera,somehwere,1,19:37:06,07/06/22
V-01,Rpi Camera,somehwere,1,19:37:15,07/06/22
V-01,Rpi Camera,somehwere,1,19:37:24,07/06/22
V-01,Rpi Camera,somehwere,1,19:37:33,07/06/22
